## ID	 	   Morph		z		D(Mpc)    Re(arcsec)	 logM*	    SFR	   avgZgas	dZgas_Re		dZgas_kpc
NGC4030 	   SA(s)bc    	0.004887 29.9 	31.8 	11.18 	  11.08 	 9.00 ± 0.07 −0.13 ± 0.01 −0.03 ± 0.01
NGC3521 	   SAB(rs)bc 	0.002672 14.2 	61.7 	11.15 	  2.98 	 8.85 ± 0.06 −0.09 ± 0.02 −0.02 ± 0.01
NGC3256  	   pec 	   	0.009354 38.4 	26.6 	11.14 	  3.10 	 8.77 ± 0.09 −0.04 ± 0.04 −0.01 ± 0.01
NGC4603  	   SA(s)c? 	      	0.008647 32.8 	44.7  	11.10  	  0.65 	 8.82 ± 0.10 −0.17 ± 0.04 −0.02 ± 0.01
NGC3393  	   (R’)SB(rs)a? 	0.012509 55.2 	21.1 	11.09 	  7.06 	 8.86 ± 0.02   0.04 ± 0.02    0.01 ± 0.01
NGC1097  	   SB(s)b 		0.004240 16.0 	55.1 	11.07 	  4.66 	 8.99 ± 0.08 −0.07 ± 0.08 −0.03 ± 0.01
NGC289 	 	   SB(rs)bc 	0.005434 24.8 	27.0 	11.00 	  3.58 	 8.93 ± 0.11 −0.09 ± 0.03 −0.03 ± 0.01
NGC4593  	   (R)SB(rs)b 	0.009000 25.6 	63.3 	10.95 	  4.10 	 8.94 ± 0.14 −0.38 ± 0.01 −0.01 ± 0.02
IC2560 	 	   (R’)SB(r)b? 	0.009757 32.2 	37.8 	10.89 	  3.76 	 8.81 ± 0.11 −0.05 ± 0.04 −0.01 ± 0.01
NGC5643  	   SAB(rs)c 	0.003999 17.4 	60.7 	10.84 	  1.46 	 8.82 ± 0.11 −0.25 ± 0.12 −0.06 ± 0.03
NGC3081  	   (R)SAB0/a(r)  0.007976 33.4 	18.9 	10.83 	  1.47 	 8.97 ± 0.08 −0.08 ± 0.01 −0.02 ± 0.01
NGC4941  	   (R)SAB(r)ab?  0.003696 15.2 	     	64.7  	10.80  	  3.01 	 8.93 ± 0.13 −0.22 ± 0.02 −0.06 ± 0.02
NGC5806  	   SAB(s)b 	0.004533 26.8 	27.2 	10.70 	  3.61 	 8.84 ± 0.07 −0.04 ± 0.02    0.00 ± 0.01
NGC3783  	   (R’)SB(r)ab 	0.009730 40.0 	27.7 	10.61 	  6.93 	 8.82 ± 0.06 −0.04 ± 0.01 −0.01 ± 0.01
NGC5334  	   SB(rs)c? 	0.004623 32.2 	51.2 	10.55 	  2.45 	 8.64 ± 0.11 −0.30 ± 0.03 −0.05 ± 0.01
NGC7162  	   SA(s)c 	      	0.007720 38.5 	18.0  	10.42  	  1.73 	 8.76 ± 0.06 −0.11 ± 0.01 −0.03 ± 0.01
NGC1084  	   SA(s)c 		0.004693 20.9 	23.8 	10.40 	  3.69 	 8.69 ± 0.05 −0.11 ± 0.01 −0.05 ± 0.01
NGC1309  	   SA(s)bc? 	0.007125 31.2 	20.3 	10.37 	  2.41 	 8.57 ± 0.04 −0.11 ± 0.01 −0.04 ± 0.01
NGC5584  	   SAB(rs)cd 	0.005464 22.5 	63.5 	10.34 	  1.29 	 8.49 ± 0.10 −0.31 ± 0.03 −0.05 ± 0.01
NGC4900  	   SB(rs)c 	      	0.003201 21.6 	35.4  	10.24  	  1.00 	 8.67 ± 0.08 −0.15 ± 0.02 −0.04 ± 0.01
NGC7496  	   SB(s)b 		0.005365 11.9 	66.6 	10.19 	  1.80 	 8.71 ± 0.10 −0.17 ± 0.04 −0.05 ± 0.01
NGC7552  	   (R’)SB(s)ab 	0.005500 14.8 	26.0 	10.19 	  0.59 	 8.93 ± 0.13 −0.12 ± 0.03 −0.06 ± 0.02
NGC1512  	   SB(r)a 	      	0.002995 12.0 	63.3  	10.18  	  1.67 	 8.79 ± 0.06    0.00 ± 0.00 −0.03 ± 0.01
NGC7421  	   SB(rs)bc 	0.005979 25.4 	 29.6 	10.09 	  2.03 	 8.81 ± 0.12 −0.18 ± 0.02 −0.05 ± 0.01
ESO498-G5 	   SAB(s)bcpec 	0.008049 32.8 	 19.8 	10.02 	  0.56 	 8.78 ± 0.09 −0.02 ± 0.02   0.00 ± 0.01
NGC1042 	   SAB(rs)cd 	0.004573 15.0 	 63.7 	9.83 	  2.41 	 8.76 ± 0.12 −0.14 ± 0.01 −0.03 ± 0.02
IC5273 		   SB(rs)cd? 	0.004312 15.6 	 33.8 	9.82 	  0.83 	 8.46 ± 0.08 −0.13 ± 0.01 −0.04 ± 0.01
NGC1483 	   SB(s)bc? 	0.003833 24.4 	 19.0 	9.81 	  0.43 	 8.27 ± 0.09 −0.10 ± 0.01 −0.05 ± 0.01
NGC2835 	   SB(rs)c 	      	0.002955 8.8  	   	 57.4  	9.80  	  0.38 	 8.64 ± 0.10 −0.27 ± 0.03 −0.08 ± 0.01
PGC3853 	   SAB(rs)d 	0.003652 11.3 	 73.1 	9.78 	  0.35 	 8.57 ± 0.10 −0.31 ± 0.01 −0.06 ± 0.02
NGC337 		   SB(s)d 	      	0.005490 18.9 	 24.6 	9.77   	  0.57 	 8.36 ± 0.08 −0.12 ± 0.01 −0.05 ± 0.01
NGC4592 	   SA(s)dm? 	0.003566 11.7 	 37.9 	9.68 	  0.31 	 8.15 ± 0.08 −0.06 ± 0.01 −0.03 ± 0.01
NGC4790 	   SB(rs)c? 	0.004483 16.9 	 17.7 	9.60 	  0.39 	 8.47 ± 0.08 −0.09 ± 0.01 −0.04 ± 0.01
NGC3513 	   SB(rs)c 	      	0.003983 7.8  	   	 55.4  	9.37  	  0.21 	 8.46 ± 0.09 −0.29 ± 0.06 −0.13 ± 0.01
NGC2104 	   SB(s)mpec 	0.003873 18.0 	 16.5 	9.21 	  0.24 	 8.25 ± 0.07 −0.08 ± 0.01 −0.05 ± 0.01
NGC4980 	   SAB(rs)apec?  0.004767 16.8 	 13.0 	9.00 	  0.18 	 8.15 ± 0.10 −0.06 ± 0.01 −0.05 ± 0.01
NGC4517A 	   SB(rs)dm? 	0.005087 8.7 	      	 46.8 	8.50   	  0.10 	 8.27 ± 0.12 −0.15 ± 0.10 −0.13 ± 0.01
ESO499-G37 	   SAB(s)d? 	0.003186 18.3 	 18.3 	8.47 	  0.14 	 8.00 ± 0.14 −0.01 ± 0.02    0.00 ± 0.01
